created_at,entry_id,Temperature (C),Turbidity(NTU),Dissolved Oxygen(g/ml),PH,Ammonia(g/ml),Nitrate(g/ml),Population,Fish_Length(cm),Fish_Weight(g),Fish Diseases
2021-06-19 00:00:05 CET,1889,24.875,100,4.505,8.43365,0.45842,193,50,7.11,2.91,Red Spot
2021-06-19 00:01:02 CET,1890,24.9375,100,6.601,8.43818,0.45842,194,50,7.11,2.91,Red Spot
2021-06-19 00:01:22 CET,1891,24.875,100,15.797,8.42457,0.45842,192,50,7.11,2.91,Red Spot
2021-06-19 00:01:44 CET,1892,24.9375,100,5.046,8.43365,0.45842,193,50,7.11,2.91,Red Spot
2021-06-19 00:02:07 CET,1893,24.9375,100,38.407,8.40641,0.45842,192,50,7.11,2.91,Red Spot
2021-06-19 00:02:27 CET,1894,24.9375,100,3.862,8.42003,0.45842,193,50,7.11,2.91,Red Spot
2021-06-19 00:02:47 CET,1895,24.875,100,2.831,8.43818,0.45842,194,50,7.11,2.91,Red Spot
2021-06-19 00:03:07 CET,1896,24.9375,100,5.012,8.42911,0.45842,193,50,7.11,2.91,Red Spot
2021-06-19 00:03:27 CET,1897,24.9375,100,2.916,8.42911,0.45842,192,50,7.11,2.91,Red Spot
2021-06-19 00:03:47 CET,1898,24.875,100,17.005,8.43365,0.45842,192,50,7.11,2.91,Red Spot
2021-06-19 00:04:31 CET,1900,24.875,100,6.964,8.48358,0.45842,191,50,7.11,2.91,Red Spot
2021-06-19 00:05:11 CET,1902,24.9375,100,3.465,8.42911,0.45842,187,50,7.11,2.91,Red Spot
2021-06-19 00:05:59 CET,1903,24.9375,100,4.319,8.42911,0.45842,191,50,7.11,2.91,Red Spot
2021-06-19 00:06:18 CET,1904,24.875,100,24.266,8.43365,0.45842,190,50,7.11,2.91,Red Spot
2021-07-12 16:29:50 CET,56750,24.3125,100,3.347,7.55753,0.45842,112,50,14.62,25.91,Red Spot
2021-07-12 16:31:06 CET,56752,24.3125,100,1.174,7.54391,0.45842,112,50,14.62,25.91,Red Spot
2021-07-12 16:31:25 CET,56753,24.3125,100,1.884,7.54845,0.45842,112,50,14.62,25.91,Red Spot
2021-07-12 16:31:45 CET,56754,24.25,100,0.955,7.55753,0.45842,114,50,14.62,25.91,Red Spot
2021-07-12 16:32:05 CET,56755,24.25,100,1.183,7.54845,0.45842,113,50,14.62,25.91,Red Spot
2021-07-12 16:33:01 CET,56756,24.3125,100,0.245,7.55299,0.45842,112,50,14.62,25.91,Fin Rot
2021-07-12 16:33:21 CET,56757,24.25,100,7.336,7.54845,0.45842,112,50,14.62,25.91,Fin Rot
2021-07-12 16:34:17 CET,56758,24.3125,100,1.808,7.54845,0.45842,107,50,14.62,25.91,Fin Rot
2021-07-12 16:34:37 CET,56759,24.25,100,2.628,7.56661,0.45842,112,50,14.62,25.91,Fin Rot
2021-07-12 16:34:56 CET,56760,24.25,100,0.802,7.54391,0.45842,112,50,14.62,25.91,Fin Rot
2021-07-12 16:35:16 CET,56761,24.25,100,0.76,7.54845,0.45842,113,50,14.62,25.91,Fin Rot
2021-07-12 16:36:13 CET,56762,24.25,100,2.087,7.55753,0.45842,112,50,14.62,25.91,Fin Rot
2021-07-12 16:37:12 CET,56765,24.25,100,10.886,7.55753,0.45842,112,50,14.62,25.91,Fin Rot
2021-07-12 16:37:31 CET,56766,24.25,100,6.432,7.55299,0.45842,112,50,14.62,25.91,Fin Rot
2021-07-12 16:38:28 CET,56767,24.25,100,0.726,7.55753,0.45842,112,50,14.62,25.91,Fin Rot
2021-07-12 16:38:47 CET,56768,24.25,100,14.723,7.55753,0.45842,112,50,14.62,25.91,Fin Rot
2021-07-12 16:40:04 CET,56770,24.25,100,1.428,7.56207,0.45842,112,50,14.62,25.91,Fin Rot
2021-07-12 16:40:23 CET,56771,24.25,100,0.549,7.55299,0.45842,112,50,14.62,25.91,Fin Rot
2021-07-12 16:41:03 CET,56773,24.25,100,1.867,7.55753,0.45842,113,50,14.62,25.91,Fin Rot
2021-07-12 16:41:22 CET,56774,24.25,100,7.353,7.55753,0.45842,112,50,14.62,25.91,Fin Rot
2021-07-12 16:41:42 CET,56775,24.25,100,2.4,7.55299,0.45842,112,50,14.62,25.91,Fin Rot
2021-07-12 16:42:02 CET,56776,24.25,100,8.418,7.54845,0.45842,115,50,14.62,25.91,Fin Rot
2021-07-12 16:42:22 CET,56777,24.25,100,20.581,7.55299,0.45842,112,50,14.62,25.91,Fin Rot
2021-07-12 16:42:41 CET,56778,24.3125,100,0.667,7.57569,0.45842,112,50,14.62,25.91,Fin Rot
2021-07-12 16:43:01 CET,56779,24.25,100,13.058,7.55299,0.45842,112,50,14.62,25.91,Fin Rot
2021-07-12 16:43:20 CET,56780,24.25,100,1.386,7.55753,0.45842,112,50,14.62,25.91,Fin Rot
2021-07-12 16:43:40 CET,56781,24.3125,100,13.312,7.56207,0.45842,112,50,14.62,25.91,Fin Rot
2021-07-12 16:44:36 CET,56782,24.25,100,9.779,7.58023,0.45842,112,50,14.62,25.91,Fin Rot
2021-07-12 16:46:12 CET,56785,24.25,100,28.255,7.54845,0.45842,112,50,14.62,25.91,Fin Rot
2021-07-12 16:46:31 CET,56786,24.25,100,0.109,7.54845,0.45842,112,50,14.62,25.91,Fin Rot
2021-07-12 16:47:30 CET,56789,24.25,100,0.211,7.54845,0.45842,112,50,14.62,25.91,Fin Rot
2021-07-12 16:47:50 CET,56790,24.25,100,2.856,7.54391,0.45842,113,50,14.62,25.91,Fin Rot
2021-07-12 16:48:09 CET,56791,24.25,100,6.93,7.54845,0.45842,109,50,14.62,25.91,Fin Rot
2021-07-12 16:49:47 CET,56796,24.25,100,4.86,7.54845,0.45842,112,50,14.62,25.91,Fin Rot
2021-07-12 16:50:06 CET,56797,24.3125,100,0.887,7.54845,0.45842,112,50,14.62,25.91,Fin Rot
2021-07-29 23:22:07 CET,111387,25,10,2.587,7.32602,27.00883,385,50,18.49,59.36,Fin Rot
